Name,Gender,Frequency
Karly,F,175
Katarina,F,175
Persephone,F,175
Vayda,F,175
Jaleah,F,174
Jazmyn,F,174
Kyndal,F,174
Leilany,F,174
Petra,F,174
Ananya,F,173
Araya,F,173
Audree,F,173
Brayleigh,F,173
Celina,F,173
Flora,F,173
Mayah,F,173
Octavia,F,173
Zoya,F,173
Arantza,F,172
Farah,F,172
Jakayla,F,172
Kinsey,F,172
Capri,F,171
Emiliana,F,171
Shanaya,F,171
Shay,F,171
Sofie,F,171
Yazmin,F,171
Arlene,F,170
Finnley,F,170
Grecia,F,170
Jacey,F,170
Marcella,F,170
Melinda,F,170
Priya,F,170
Skylah,F,170
Zayla,F,170
Calista,F,169
Isadora,F,169
Keila,F,169
Shaylee,F,169
Areli,F,168
Grayson,F,168
Jazelle,F,168
Silvia,F,168
Carsyn,F,167
Darcy,F,167
Elissa,F,167
Janie,F,167
Jazzlyn,F,167
Kiersten,F,167
Shreya,F,167
Emi,F,166
Nyah,F,166
Pamela,F,166
Tesla,F,166
Andie,F,165
Dayanna,F,165
Delanie,F,165
Kenleigh,F,165
Anabel,F,164
Izzabella,F,164
Yaretzy,F,164
Abbey,F,163
Carissa,F,163
Elinor,F,163
Keziah,F,163
Legacy,F,163
Sonya,F,163
Zahara,F,163
Alanah,F,162
Cheyanne,F,162
Haddie,F,162
Jaylyn,F,162
Leigha,F,162
Maribel,F,162
Nadine,F,162
Salem,F,162
Yuliana,F,162
Amaia,F,161
Damaris,F,161
Litzy,F,161
Azul,F,160
Gretchen,F,160
Journi,F,160
Mariella,F,160
Aadya,F,159
Annabell,F,159
Dariana,F,159
Donna,F,159
Emme,F,159
Ida,F,159
Judy,F,159
Layan,F,159
Aislynn,F,158
Darlene,F,158
Hailie,F,158
Jaclyn,F,158
Kya,F,158
Lucie,F,158
Nailah,F,158
Nayla,F,158
Saoirse,F,158
Shyla,F,158
Alba,F,157
Ariela,F,157
Dior,F,157
Lincoln,F,157
Oaklee,F,157
Tallulah,F,157
Yasmine,F,157
Dina,F,156
Essence,F,156
Jamiyah,F,156
Kamari,F,156
Lacy,F,156
Rayleigh,F,156
Rowyn,F,156
Tina,F,156
Winifred,F,156
Eleanora,F,155
Ema,F,155
Evangelina,F,155
Marin,F,155
Stephany,F,155
Ashanti,F,154
Elly,F,154
Emmerson,F,154
Leticia,F,154
Lidia,F,154
Nariah,F,154
Raleigh,F,154
Sanai,F,154
Tania,F,154
Zella,F,154
Aaleyah,F,153
Analise,F,153
Aniston,F,153
Carmella,F,153
Janet,F,153
Kenlee,F,153
Kynleigh,F,153
Maura,F,153
Naima,F,153
Bernadette,F,152
Chasity,F,152
Kynslee,F,152
Aracely,F,151
Austin,F,151
Ayesha,F,151
Beverly,F,151
Blythe,F,151
Kenzi,F,151
Mireya,F,151
Adalie,F,150
Avalon,F,150
Jael,F,150
Lakyn,F,150
Suri,F,150
Yoselin,F,150
Abbygail,F,149
Harlie,F,149
Kalea,F,149
Pepper,F,149
Yaneli,F,149
